first variable  second variable add_sum         multiply_sum    
           2004           1819           3823
           2004           1847           3851
           2004           2010           4014
           2004           2002           4006
           2004           210           2214
           2004           1924           3928
           2004           1482           3486
           2004           1451           3455
           2004           1867           3871
           2004           1364           3368
           2004           1578           3582
           2004           1623           3627
           2004           1117           3121
           2004           1594           3598
           2004           1476           3480
           2004           1879           3883
           2004           1797           3801
           2004           1952           3956
           2004           2005           4009
           2004           1734           3738
           2004           1898           3902
           2004           1880           3884
           2004           1330           3334
           2004           1854           3858
           2004           1813           3817
           2004           1926           3930
           2004           1686           3690
           2004           1286           3290
           2004           1808           3812
           2004           1876           3880
           2004           1366           3370
           2004           1995           3999
           2004           1632           3636
           2004           1699           3703
           2004           2001           4005
           2004           1365           3369
           2004           1343           3347
           2004           1979           3983
           2004           1868           3872
           2004           1815           3819
           2004           820           2824
           2004           1966           3970
           2004           1888           3892
           2004           1916           3920
           2004           1852           3856
           2004           1932           3936
           2004           1368           3372
           2004           1606           3610
           2004           1825           3829
           2004           1731           3735
           2004           1980           3984
           2004           1990           3994
           2004           1818           3822
           2004           1702           3706
           2004           1419           3423
           2004           1897           3901
           2004           1970           3974
           2004           1276           3280
           2004           1914           3918
           2004           1889           3893
           2004           1953           3957
           2004           1588           3592
           2004           1958           3962
           2004           1310           3314
           2004           1391           3395
           2004           1326           3330
           2004           1131           3135
           2004           1959           3963
           2004           1844           3848
           2004           1307           3311
           2004           1998           4002
           2004           1961           3965
           2004           1708           3712
           2004           1977           3981
           2004           1886           3890
           2004           1946           3950
           2004           1516           3520
           2004           1999           4003
           2004           1859           3863
           2004           1931           3935
           2004           1853           3857
           2004           1265           3269
           2004           1869           3873
           2004           1642           3646
           2004           1740           3744
           2004           1467           3471
           2004           1944           3948
           2004           1956           3960
           2004           1263           3267
           2004           1940           3944
           2004           1912           3916
           2004           1832           3836
           2004           1872           3876
           2004           1678           3682
           2004           1319           3323
           2004           1839           3843
           2004           1689           3693
           2004           1765           3769
           2004           1894           3898
           2004           1242           3246
           2004           1983           3987
           2004           1410           3414
           2004           1985           3989
           2004           1387           3391
           2004           1022           3026
           2004           1358           3362
           2004           860           2864
           2004           112           2116
           2004           1964           3968
           2004           1836           3840
           2004           1838           3842
           2004           1285           3289
           2004           1943           3947
           2004           1718           3722
           2004           1351           3355
           2004           760           2764
           2004           1925           3929
           2004           1842           3846
           2004           1921           3925
           2004           1967           3971
           2004           1822           3826
           2004           1978           3982
           2004           1837           3841
           2004           1378           3382
           2004           1618           3622
           2004           1266           3270
           2004           2003           4007
           2004           1972           3976
           2004           666           2670
           2004           1321           3325
           2004           1938           3942
           2004           1616           3620
           2004           1892           3896
           2004           831           2835
           2004           1865           3869
           2004           1314           3318
           2004           1571           3575
           2004           1806           3810
           2004           1225           3229
           2004           1882           3886
           2004           1454           3458
           2004           1257           3261
           2004           1381           3385
           2004           1284           3288
           2004           1907           3911
           2004           1950           3954
           2004           1887           3891
           2004           1492           3496
           2004           1934           3938
           2004           1709           3713
           2004           1315           3319
           2004           1574           3578
           2004           1794           3798
           2004           1576           3580
           2004           1883           3887
           2004           1864           3868
           2004           1981           3985
           2004           1317           3321
           2004           1397           3401
           2004           1325           3329
           2004           1620           3624
           2004           1895           3899
           2004           1485           3489
           2004           1828           3832
           2004           1803           3807
           2004           1715           3719
           2004           1374           3378
           2004           1251           3255
           2004           1460           3464
           2004           1863           3867
           2004           1581           3585
           2004           1499           3503
           2004           1933           3937
           2004           1982           3986
           2004           1809           3813
           1520           2004           3524
           1520           1520           3040
           1520           1753           3273
           1520           1463           2983
           1520           1976           3496
           1520           1994           3514
           1520           1830           3350
           1520           1942           3462
           1520           1784           3304
           1520           1858           3378
           1520           1841           3361
           1520           1721           3241
           1520           1480           3000
           1520           1821           3341
           1520           1584           3104
           1520           978           2498
           1520           1530           3050
           1520           1278           2798
           1520           1827           3347
           1520           889           2409
           1520           1922           3442
           1520           1996           3516
           1520           1992           3512
           1520           1819           3339
           1520           1847           3367
           1520           2010           3530
           1520           2002           3522
           1520           210           1730
           1520           1924           3444
           1520           1482           3002
           1520           1451           2971
           1520           1867           3387
           1520           1364           2884
           1520           1578           3098
           1520           1623           3143
           1520           1117           2637
           1520           1594           3114
           1520           1476           2996
           1520           1879           3399
           1520           1797           3317
           1520           1952           3472
           1520           2005           3525
           1520           1734           3254
           1520           1898           3418
           1520           1880           3400
           1520           1330           2850
           1520           1854           3374
           1520           1813           3333
           1520           1926           3446
           1520           1686           3206
           1520           1286           2806
           1520           1808           3328
           1520           1876           3396
           1520           1366           2886
           1520           1995           3515
           1520           1632           3152
           1520           1699           3219
           1520           2001           3521
           1520           1365           2885
           1520           1343           2863
           1520           1979           3499
           1520           1868           3388
           1520           1815           3335
           1520           820           2340
           1520           1966           3486
           1520           1888           3408
           1520           1916           3436
           1520           1852           3372
           1520           1932           3452
           1520           1368           2888
           1520           1606           3126
           1520           1825           3345
           1520           1731           3251
           1520           1980           3500
           1520           1990           3510
           1520           1818           3338
           1520           1702           3222
           1520           1419           2939
           1520           1897           3417
           1520           1970           3490
           1520           1276           2796
           1520           1914           3434
           1520           1889           3409
           1520           1953           3473
           1520           1588           3108
           1520           1958           3478
           1520           1310           2830
           1520           1391           2911
           1520           1326           2846
           1520           1131           2651
           1520           1959           3479
           1520           1844           3364
           1520           1307           2827
           1520           1998           3518
           1520           1961           3481
           1520           1708           3228
           1520           1977           3497
           1520           1886           3406
           1520           1946           3466
           1520           1516           3036
           1520           1999           3519
           1520           1859           3379
           1520           1931           3451
           1520           1853           3373
           1520           1265           2785
           1520           1869           3389
           1520           1642           3162
           1520           1740           3260
           1520           1467           2987
           1520           1944           3464
           1520           1956           3476
           1520           1263           2783
           1520           1940           3460
           1520           1912           3432
           1520           1832           3352
           1520           1872           3392
           1520           1678           3198
           1520           1319           2839
           1520           1839           3359
           1520           1689           3209
           1520           1765           3285
           1520           1894           3414
           1520           1242           2762
           1520           1983           3503
           1520           1410           2930
           1520           1985           3505
           1520           1387           2907
           1520           1022           2542
           1520           1358           2878
           1520           860           2380
           1520           112           1632
           1520           1964           3484
           1520           1836           3356
           1520           1838           3358
           1520           1285           2805
           1520           1943           3463
           1520           1718           3238
           1520           1351           2871
           1520           760           2280
           1520           1925           3445
           1520           1842           3362
           1520           1921           3441
           1520           1967           3487
           1520           1822           3342
           1520           1978           3498
           1520           1837           3357
           1520           1378           2898
           1520           1618           3138
           1520           1266           2786
           1520           2003           3523
           1520           1972           3492
           1520           666           2186
           1520           1321           2841
           1520           1938           3458
           1520           1616           3136
           1520           1892           3412
           1520           831           2351
           1520           1865           3385
           1520           1314           2834
           1520           1571           3091
           1520           1806           3326
           1520           1225           2745
           1520           1882           3402
           1520           1454           2974
           1520           1257           2777
           1520           1381           2901
           1520           1284           2804
           1520           1907           3427
           1520           1950           3470
           1520           1887           3407
           1520           1492           3012
           1520           1934           3454
           1520           1709           3229
           1520           1315           2835
           1520           1574           3094
           1520           1794           3314
           1520           1576           3096
           1520           1883           3403
           1520           1864           3384
           1520           1981           3501
           1520           1317           2837
           1520           1397           2917
           1520           1325           2845
           1520           1620           3140
           1520           1895           3415
           1520           1485           3005
           1520           1828           3348
           1520           1803           3323
           1520           1715           3235
           1520           1374           2894
           1520           1251           2771
           1520           1460           2980
           1520           1863           3383
           1520           1581           3101
           1520           1499           3019
           1520           1933           3453
           1520           1982           3502
           1520           1809           3329
           1753           2004           3757
           1753           1520           3273
           1753           1753           3506
           1753           1463           3216
           1753           1976           3729
           1753           1994           3747
           1753           1830           3583
           1753           1942           3695
           1753           1784           3537
           1753           1858           3611
           1753           1841           3594
           1753           1721           3474
           1753           1480           3233
           1753           1821           3574
           1753           1584           3337
           1753           978           2731
           1753           1530           3283
           1753           1278           3031
           1753           1827           3580
           1753           889           2642
           1753           1922           3675
           1753           1996           3749
           1753           1992           3745
           1753           1819           3572
           1753           1847           3600
           1753           2010           3763
           1753           2002           3755
           1753           210           1963
           1753           1924           3677
           1753           1482           3235
           1753           1451           3204
           1753           1867           3620
           1753           1364           3117
           1753           1578           3331
           1753           1623           3376
           1753           1117           2870
           1753           1594           3347
           1753           1476           3229
           1753           1879           3632
           1753           1797           3550
           1753           1952           3705
           1753           2005           3758
           1753           1734           3487
           1753           1898           3651
           1753           1880           3633
           1753           1330           3083
           1753           1854           3607
           1753           1813           3566
           1753           1926           3679
           1753           1686           3439
           1753           1286           3039
           1753           1808           3561
           1753           1876           3629
           1753           1366           3119
           1753           1995           3748
           1753           1632           3385
           1753           1699           3452
           1753           2001           3754
           1753           1365           3118
           1753           1343           3096
           1753           1979           3732
           1753           1868           3621
           1753           1815           3568
           1753           820           2573
           1753           1966           3719
           1753           1888           3641
           1753           1916           3669
           1753           1852           3605
           1753           1932           3685
           1753           1368           3121
           1753           1606           3359
           1753           1825           3578
           1753           1731           3484
           1753           1980           3733
           1753           1990           3743
           1753           1818           3571
           1753           1702           3455
           1753           1419           3172
           1753           1897           3650
           1753           1970           3723
           1753           1276           3029
           1753           1914           3667
           1753           1889           3642
           1753           1953           3706
           1753           1588           3341
           1753           1958           3711
           1753           1310           3063
           1753           1391           3144
           1753           1326           3079
           1753           1131           2884
           1753           1959           3712
           1753           1844           3597
           1753           1307           3060
           1753           1998           3751
           1753           1961           3714
           1753           1708           3461
           1753           1977           3730
           1753           1886           3639
           1753           1946           3699
           1753           1516           3269
           1753           1999           3752
           1753           1859           3612
           1753           1931           3684
           1753           1853           3606
           1753           1265           3018
           1753           1869           3622
           1753           1642           3395
           1753           1740           3493
           1753           1467           3220
           1753           1944           3697
           1753           1956           3709
           1753           1263           3016
           1753           1940           3693
           1753           1912           3665
           1753           1832           3585
           1753           1872           3625
           1753           1678           3431
           1753           1319           3072
           1753           1839           3592
           1753           1689           3442
           1753           1765           3518
           1753           1894           3647
           1753           1242           2995
           1753           1983           3736
           1753           1410           3163
           1753           1985           3738
           1753           1387           3140
           1753           1022           2775
           1753           1358           3111
           1753           860           2613
           1753           112           1865
           1753           1964           3717
           1753           1836           3589
           1753           1838           3591
           1753           1285           3038
           1753           1943           3696
           1753           1718           3471
           1753           1351           3104
           1753           760           2513
           1753           1925           3678
           1753           1842           3595
           1753           1921           3674
           1753           1967           3720
           1753           1822           3575
           1753           1978           3731
           1753           1837           3590
           1753           1378           3131
           1753           1618           3371
           1753           1266           3019
           1753           2003           3756
           1753           1972           3725
           1753           666           2419
           1753           1321           3074
           1753           1938           3691
           1753           1616           3369
           1753           1892           3645
           1753           831           2584
           1753           1865           3618
           1753           1314           3067
           1753           1571           3324
           1753           1806           3559
           1753           1225           2978
           1753           1882           3635
           1753           1454           3207
           1753           1257           3010
           1753           1381           3134
           1753           1284           3037
           1753           1907           3660
           1753           1950           3703
           1753           1887           3640
           1753           1492           3245
           1753           1934           3687
           1753           1709           3462
           1753           1315           3068
           1753           1574           3327
           1753           1794           3547
           1753           1576           3329
           1753           1883           3636
           1753           1864           3617
           1753           1981           3734
           1753           1317           3070
           1753           1397           3150
           1753           1325           3078
           1753           1620           3373
           1753           1895           3648
           1753           1485           3238
           1753           1828           3581
           1753           1803           3556
           1753           1715           3468
           1753           1374           3127
           1753           1251           3004
           1753           1460           3213
           1753           1863           3616
           1753           1581           3334
           1753           1499           3252
           1753           1933           3686
           1753           1982           3735
           1753           1809           3562
           1463           2004           3467
           1463           1520           2983
           1463           1753           3216
           1463           1463           2926
           1463           1976           3439
           1463           1994           3457
           1463           1830           3293
           1463           1942           3405
           1463           1784           3247
           1463           1858           3321
           1463           1841           3304
           1463           1721           3184
           1463           1480           2943
           1463           1821           3284
           1463           1584           3047
           1463           978           2441
           1463           1530           2993
           1463           1278           2741
           1463           1827           3290
           1463           889           2352
           1463           1922           3385
           1463           1996           3459
           1463           1992           3455
           1463           1819           3282
           1463           1847           3310
           1463           2010           3473
           1463           2002           3465
           1463           210           1673
           1463           1924           3387
           1463           1482           2945
           1463           1451           2914
           1463           1867           3330
           1463           1364           2827
           1463           1578           3041
           1463           1623           3086
           1463           1117           2580
           1463           1594           3057
           1463           1476           2939
           1463           1879           3342
           1463           1797           3260
           1463           1952           3415
           1463           2005           3468
           1463           1734           3197
           1463           1898           3361
           1463           1880           3343
           1463           1330           2793
           1463           1854           3317
           1463           1813           3276
           1463           1926           3389
           1463           1686           3149
           1463           1286           2749
           1463           1808           3271
           1463           1876           3339
           1463           1366           2829
           1463           1995           3458
           1463           1632           3095
           1463           1699           3162
           1463           2001           3464
           1463           1365           2828
           1463           1343           2806
           1463           1979           3442
           1463           1868           3331
           1463           1815           3278
           1463           820           2283
           1463           1966           3429
           1463           1888           3351
           1463           1916           3379
           1463           1852           3315
           1463           1932           3395
           1463           1368           2831
           1463           1606           3069
           1463           1825           3288
           1463           1731           3194
           1463           1980           3443
           1463           1990           3453
           1463           1818           3281
           1463           1702           3165
           1463           1419           2882
           1463           1897           3360
           1463           1970           3433
           1463           1276           2739
           1463           1914           3377
           1463           1889           3352
           1463           1953           3416
           1463           1588           3051
           1463           1958           3421
           1463           1310           2773
           1463           1391           2854
           1463           1326           2789
           1463           1131           2594
           1463           1959           3422
           1463           1844           3307
           1463           1307           2770
           1463           1998           3461
           1463           1961           3424
           1463           1708           3171
           1463           1977           3440
           1463           1886           3349
           1463           1946           3409
           1463           1516           2979
           1463           1999           3462
           1463           1859           3322
           1463           1931           3394
           1463           1853           3316
           1463           1265           2728
           1463           1869           3332
           1463           1642           3105
           1463           1740           3203
           1463           1467           2930
           1463           1944           3407
           1463           1956           3419
           1463           1263           2726
           1463           1940           3403
           1463           1912           3375
           1463           1832           3295
           1463           1872           3335
           1463           1678           3141
           1463           1319           2782
           1463           1839           3302
           1463           1689           3152
           1463           1765           3228
           1463           1894           3357
           1463           1242           2705
           1463           1983           3446
           1463           1410           2873
           1463           1985           3448
           1463           1387           2850
           1463           1022           2485
           1463           1358           2821
           1463           860           2323
           1463           112           1575
           1463           1964           3427
           1463           1836           3299
           1463           1838           3301
           1463           1285           2748
           1463           1943           3406
           1463           1718           3181
           1463           1351           2814
           1463           760           2223
           1463           1925           3388
           1463           1842           3305
           1463           1921           3384
           1463           1967           3430
           1463           1822           3285
           1463           1978           3441
           1463           1837           3300
           1463           1378           2841
           1463           1618           3081
           1463           1266           2729
           1463           2003           3466
           1463           1972           3435
           1463           666           2129
           1463           1321           2784
           1463           1938           3401
           1463           1616           3079
           1463           1892           3355
           1463           831           2294
           1463           1865           3328
           1463           1314           2777
           1463           1571           3034
           1463           1806           3269
           1463           1225           2688
           1463           1882           3345
           1463           1454           2917
           1463           1257           2720
           1463           1381           2844
           1463           1284           2747
           1463           1907           3370
           1463           1950           3413
           1463           1887           3350
           1463           1492           2955
           1463           1934           3397
           1463           1709           3172
           1463           1315           2778
           1463           1574           3037
           1463           1794           3257
           1463           1576           3039
           1463           1883           3346
           1463           1864           3327
           1463           1981           3444
           1463           1317           2780
           1463           1397           2860
           1463           1325           2788
           1463           1620           3083
           1463           1895           3358
           1463           1485           2948
